id_llar,pes_llar,membres_llar,tipus_llar,unitats_consum,renda_total,renda_pobresa,risc_pobresa,carencia_material,regim_tinenca,temperatura_adequada,despeses_habitatge,quota_hipotecaria,retards_hipoteca_lloguer,retards_factures,bo_social,afrontar_imprevistos,arribar_final_mes,any_construccio,millores_energetiques,rao_no_millora,no_temperatura_adequada,te_retards,vulnerabilitat_basica
1,4,1,6.0,1.0,10352.0,10352.0,Sí,No,Propietat sense hipoteca,No,217.48,,,No,No,No,Amb certa dificultat,4.0,2.0,,1.0,0,1
2,3,2,8.0,1.5,42476.24,42476.24,No,No,Propietat amb hipoteca,Sí,254.48,410.0,No,No,No,Sí,Amb certa facilitat,5.0,1.0,,0.0,0,0
3,6,2,7.0,1.5,28533.64,28533.64,No,No,Propietat sense hipoteca,Sí,172.9,,,No,No,Sí,Amb certa facilitat,3.0,1.0,,0.0,0,0
4,4,2,10.0,1.3,19457.0,19457.0,No,No,Propietat amb hipoteca,No,596.76,500.0,No,No,No,No,Amb molta dificultat,,4.0,2.0,1.0,0,1
5,5,5,14.0,2.6,44050.67,44050.67,No,No,Propietat amb hipoteca,Sí,560.67,,No,No,No,No,Amb molta dificultat,3.0,5.0,,0.0,0,0
6,6,2,7.0,1.5,50156.44,50156.44,No,No,Propietat sense hipoteca,No,159.06,,,No,No,Sí,Amb certa facilitat,3.0,5.0,,1.0,0,1
7,5,2,8.0,1.5,63694.85,63694.85,No,No,Propietat sense hipoteca,Sí,183.83,,,No,No,Sí,Amb molta facilitat,2.0,4.0,2.0,0.0,0,0
8,5,1,3.0,1.0,18402.8,18402.8,No,No,Cessió gratuïta,Sí,153.97,,,No,No,Sí,Amb certa facilitat,3.0,4.0,,0.0,0,0
9,5,3,11.0,2.0,33353.99,33353.99,No,No,Lloguer a preu de mercat,Sí,893.52,,No,No,No,Sí,Amb dificultat,3.0,1.0,,0.0,0,0
10,3,2,7.0,1.5,78712.6,78712.6,No,No,Propietat sense hipoteca,Sí,404.06,,,No,No,Sí,Amb facilitat,3.0,5.0,,0.0,0,0
11,4,2,10.0,1.5,101834.6,101834.6,No,No,Propietat sense hipoteca,Sí,486.18,,,No,No,Sí,Amb molta facilitat,2.0,2.0,,0.0,0,0
12,5,1,5.0,1.0,46690.0,46690.0,No,No,Propietat sense hipoteca,Sí,362.64,,,No,No,Sí,Amb facilitat,4.0,5.0,,0.0,0,0
13,3,1,5.0,1.0,36192.0,36192.0,No,No,Propietat sense hipoteca,Sí,142.64,,,No,No,Sí,Amb facilitat,3.0,5.0,,0.0,0,0
14,3,2,7.0,1.5,37704.2,37704.2,No,No,Propietat amb hipoteca,Sí,398.22,400.0,No,No,No,Sí,Amb certa facilitat,4.0,1.0,,0.0,0,0
15,3,1,6.0,1.0,18383.8,18383.8,No,No,Propietat sense hipoteca,No,187.39,,,No,No,Sí,Amb facilitat,3.0,4.0,2.0,1.0,0,1
16,4,3,9.0,2.0,44614.2,44614.2,No,No,Propietat sense hipoteca,Sí,369.47,,,No,No,Sí,Amb dificultat,4.0,4.0,2.0,0.0,0,0
17,3,3,11.0,1.8,57592.3,57592.3,No,No,Propietat sense hipoteca,Sí,262.1,,,No,No,No,Amb certa dificultat,5.0,4.0,2.0,0.0,0,0
18,5,2,10.0,1.3,36824.9,36824.9,No,No,Propietat amb hipoteca,Sí,480.72,670.0,No,No,No,Sí,Amb certa facilitat,3.0,4.0,2.0,0.0,0,0
19,5,4,12.0,2.3,66257.22,66257.22,No,No,Propietat amb hipoteca,Sí,497.41,500.0,No,No,No,Sí,Amb facilitat,5.0,99.0,,0.0,0,0
20,3,1,6.0,1.0,14836.9,14836.9,No,No,Propietat sense hipoteca,Sí,334.27,,,No,No,Sí,Amb molta facilitat,4.0,5.0,,0.0,0,0
21,3,4,12.0,2.3,33263.3,33263.3,No,No,Cessió gratuïta,Sí,296.97,,,No,No,Sí,Amb certa dificultat,1.0,,,0.0,0,0
22,3,1,5.0,1.0,32982.1,32982.1,No,No,Cessió gratuïta,Sí,181.14,,,No,No,Sí,Amb facilitat,2.0,3.0,,0.0,0,0
24,3,2,8.0,1.5,69250.5,69250.5,No,No,Propietat sense hipoteca,Sí,371.14,,,No,No,Sí,Amb facilitat,4.0,1.0,,0.0,0,0
25,4,1,2.0,1.0,34500.4,34500.4,No,Sí,Lloguer a preu de mercat,No,996.97,,No,No,No,No,Amb dificultat,3.0,,,1.0,0,1
26,4,4,9.0,2.5,66007.92,66007.92,No,No,Lloguer a preu de mercat,Sí,515.57,,No,No,Sí,No,Amb certa dificultat,2.0,2.0,,0.0,0,0
27,5,1,5.0,1.0,4559.0,4559.0,Sí,No,Propietat sense hipoteca,No,136.14,,,No,No,No,Amb certa dificultat,3.0,5.0,,1.0,0,1
28,3,2,8.0,1.5,84272.7,84272.7,No,No,Propietat sense hipoteca,Sí,179.48,,,No,No,Sí,Amb facilitat,1.0,5.0,,0.0,0,0
