arribar_final_mes,x,size,percent_amb_retards,n_llars
Amb molta dificultat,0.0,0,38.93,2273
Amb molta dificultat,38.93,100,38.93,2273
Amb dificultat,0.0,0,19.75,3325
Amb dificultat,19.75,100,19.75,3325
Amb certa dificultat,0.0,0,10.57,6889
Amb certa dificultat,10.57,100,10.57,6889
Amb certa facilitat,0.0,0,2.59,8999
Amb certa facilitat,2.59,100,2.59,8999
Amb facilitat,0.0,0,1.46,6619
Amb facilitat,1.46,100,1.46,6619
Amb molta facilitat,0.0,0,0.95,1214
Amb molta facilitat,0.95,100,0.95,1214
